?cls	?pred	?val	?synType
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000198>	<http://www.w3.org/2000/01/rdf-schema#label>	"software"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000029>	<http://www.w3.org/2000/01/rdf-schema#label>	"report"@en	
<http://purl.obolibrary.org/obo/BFO_0000146>	<http://www.w3.org/2000/01/rdf-schema#label>	"fiat surface"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001004>	<http://www.w3.org/2000/01/rdf-schema#label>	"project proposal"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000190>	<http://www.w3.org/2000/01/rdf-schema#label>	"publication"@en	
<http://purl.obolibrary.org/obo/IAO_0000605>	<http://www.w3.org/2000/01/rdf-schema#label>	"abbreviation textual entity"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001033>	<http://www.w3.org/2000/01/rdf-schema#label>	"institution list"@en	
<http://www.ebi.ac.uk/swo/SWO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"software license"	
<http://www.ebi.ac.uk/swo/SWO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"licence"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010041>	<http://www.w3.org/2000/01/rdf-schema#label>	"software script"@en	
<http://purl.obolibrary.org/obo/IAO_0020016>	<http://www.w3.org/2000/01/rdf-schema#label>	"given name"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000014>	<http://www.w3.org/2000/01/rdf-schema#label>	"publishing process"@en	
<http://edamontology.org/format_3256>	<http://www.w3.org/2000/01/rdf-schema#label>	"N-Triples"	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001045>	<http://www.w3.org/2000/01/rdf-schema#label>	"electronic lab notebook"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010024>	<http://www.w3.org/2000/01/rdf-schema#label>	"summer school"@en	
<http://purl.obolibrary.org/obo/BFO_0000031>	<http://www.w3.org/2000/01/rdf-schema#label>	"generically dependent continuant"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001001>	<http://www.w3.org/2000/01/rdf-schema#label>	"citation"@en	
<http://purl.obolibrary.org/obo/BFO_0000017>	<http://www.w3.org/2000/01/rdf-schema#label>	"realizable entity"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010019>	<http://www.w3.org/2000/01/rdf-schema#label>	"workshop"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000230>	<http://www.w3.org/2000/01/rdf-schema#label>	"service provider role"@en	
<http://purl.obolibrary.org/obo/IAO_0020020>	<http://www.w3.org/2000/01/rdf-schema#label>	"code set"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001018>	<http://www.w3.org/2000/01/rdf-schema#label>	"description"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001064>	<http://www.w3.org/2000/01/rdf-schema#label>	"theoretical computer science"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"academic organization role"@en	
